Maximum Stress (MPa),Group ID
6.942834428019617,91525:PVA100:40
7.303535863043643,91525:PVA100:40
6.574847165291042,91525:PVA100:40
7.570667346094804,91525:PVA100:40
6.737519195968938,91525:PVAGLY100:20
6.809146340782445,91525:PVAGLY100:20
6.59693815272353,91525:PVAGLY100:20
6.868262988913017,91525:PVAGLY100:20
6.303995375383544,91525:PVAGLY100:20
6.494082794106324,91525:PVAGLY100:20
6.821421172137268,91525:PVAGLY100:20
6.373624353940292,91525:PVAGLY100:20
6.732339639123759,91525:PVAGLY100:20
2.956244788751122,91525:PVAGLY100:30
3.016368085931989,91525:PVAGLY100:30
2.839443068660831,91525:PVAGLY100:30
3.232014087697357,91525:PVAGLY100:30
2.6978010123129854,91525:PVAGLY100:30
2.9421791492008684,91525:PVAGLY100:30
3.014232503718565,91525:PVAGLY100:40
2.769469387577492,91525:PVAGLY100:40
2.6370517450028057,91525:PVAGLY100:40
3.3825098265830817,91525:PVAGLY100:40
4.370855602800001,91525:PVAGLY100:40
2.657836331252128,91525:PVAGLY100:40
6.093481647435476,5225:PEG20024100:20
5.515983946326339,5225:PEG20024100:20
6.327058659667549,5225:PEG20024100:20
6.271027014280332,5225:PEG20024100:20
9.048313946769923,5225:PEG20024100:20
6.951420668722675,5225:PEG20024100:20
9.281893049165983,5225:PEG20024100:20
9.230668728222126,5225:PEG20024100:20
9.227471369622911,5225:PEG20024100:20
9.481442374429598,5225:PEG20024100:20
9.271762898208088,5225:PEG20024100:20
10.691861584678058,5225:PEG20024100:20
50.70287074802624,5225:PEG20012100:20
51.71541923219028,5225:PEG20012100:20
50.511050710905074,5225:PEG20012100:20
7.2719861575216,5225:PEG20012100:20
7.09761332508236,5225:PEG20012100:20
8.37878904532106,5225:PEG20012100:20
66.80660112716866,5225:PEG20012100:20
67.14339579577334,5225:PEG20012100:20
66.57617527228709,5225:PEG20012100:20
67.90793472467296,5225:PEG20012100:20
60.795225144884654,5225:PEG20012100:20
66.63719429279051,5225:PEG20012100:20
30.982445937059488,5225:PEG20010501
31.787819339443924,5225:PEG20010501
30.512770058255924,5225:PEG20010501
31.90889086296875,5225:PEG20010501
30.185683443997473,5225:PEG20010501
31.46632654334151,5225:PEG20010501
32.55348904463503,5225:PEG20010501
35.52579782846815,5225:PEG20010502
37.030270810966805,5225:PEG20010502
37.111689607541855,5225:PEG20010502
33.35530741704844,5225:PEG20010241
40.27571224729056,5225:PEG20010241
41.24495726549424,5225:PEG20010241
39.0801539914515,5225:PEG20010241
40.581766077648965,5225:PEG20010241
39.83733141153829,5225:PEG20010241
13.796975442277365,5225:PEG20010242
15.066977966501632,5225:PEG20010242
13.66161639052218,5225:PEG20010242
10.097797273227798,5225:PEG20015201
9.82415982534905,5225:PEG20015201
11.288666663160576,5225:PEG20015201
36.888430305770235,5225:PEG20015201
36.32432614634626,5225:PEG20015201
34.19328551050883,5225:PEG20015201
30.84695355979264,5225:PEG20015202
39.52472642410006,5225:PEG20015202
37.00800187366377,5225:PEG20015202
34.449915241810096,5225:PEG20020201
37.27769465385715,5225:PEG20020201
40.828630786697865,5225:PEG20020201
35.769342740636354,5225:PEG20020201
38.27274182176631,5225:PEG20020201
38.90706545460321,5225:PEG20020201
37.55452787148177,5225:PEG20020201
40.13616429221044,5225:PEG20020201
18.34960180917573,5225:PEG20020202
25.642427340962104,5225:PEG20020202
