Size,Binder Composition,Feed Mix (g Bioglass : g PEG6000),Final Volume (cm^3),Final Mass (g),Volume Loss (cm^3),Volume Loss (%),Mass Loss (g),Mass Loss (%),Porosity (%)
Evans 12mm,PVA,100:40,3.8463912785,3.951,-0.402752864,-9.478446729346274,-2.379,-37.58293838862559,61.95568190077639
Evans 12mm,PVA,100:40,3.838807791,4.027,-0.3671715389999996,-8.729751389434423,-2.3440000000000003,-36.79171244702559,61.14727377134571
Evans 12mm,PVA,100:40,3.866511024,4.042,-0.3204757884999991,-7.654091184219587,-2.378,-37.0404984423676,61.281966409905245
Evans 12mm,PVA,100:40,3.970880489999999,3.993,-0.3507805375000008,-8.116798963821575,-2.3560000000000003,-37.10820601669555,62.75665075760342
Evans 12mm,PVA,100:40,3.7865873985,3.975,-0.3814068964999997,-9.15084977341601,-2.3720000000000003,-37.371986765400976,61.12007812614016
Evans 12mm,PVA,100:40,3.84351669,4.019,-0.3762753800000005,-8.91691755797817,-2.396,-37.349961028838656,61.27196423027582
Evans 12mm,PVA,100:40,3.87518601,3.961,-0.4171229449999996,-9.717915214702892,-2.3300000000000005,-37.03703703703704,62.142796932810015
Evans 12mm,PVA,100:40,3.840737186,3.987,-0.3894144389999994,-9.205685127184998,-2.3200000000000003,-36.78452513080705,61.55251986391275
Evans 12mm,PVA,100:40,3.738449823,3.98,-0.4312710644999993,-10.342924050213163,-2.3249999999999997,-36.87549563838223,60.56991149098342
Evans 12mm,PVA Glycerol,100:20,3.748005648,4.938,-0.4894218300000004,-11.549975369277584,-1.476,-23.012160898035543,51.20367841855268
Evans 12mm,PVA Glycerol,100:20,3.775104648,4.954,-0.4243034970000003,-10.103888032536078,-1.4940000000000009,-23.169975186104228,51.39698138469154
Evans 12mm,PVA Glycerol,100:20,3.766980896999999,4.992,-0.4410680055000018,-10.481532313894055,-1.5010000000000003,-23.11720314184507,50.918548847398384
Evans 12mm,PVA Glycerol,100:20,3.891429324,5.012,-0.4116679109999999,-9.56678151847526,-1.5060000000000002,-23.105247008284753,52.29782833655041
Evans 12mm,PVA Glycerol,100:20,3.7821601349999994,4.894,-0.4345295250000007,-10.304991830961558,-1.5099999999999998,-23.579013116801995,52.07520232105156
