Sample ID,Group ID,Size,Date Tested,Binder Composition,Feed Mix (g Bioglass : g PEG6000),Particle Size (microns),Sintering Temperature (°C),Sintering Time (hours),Final Volume (cm^3),Final Mass (g),Volume Loss (cm^3),Volume Loss (%),Mass Loss (g),Mass Loss (%),Compressive Load (N),Cross-Sectional Area (mm^2),Maximum Stress (MPa),Porosity (%)
55,7125:100:10:LMW,Evans 12mm,2025-07-01,PVA,100:10,<90,930,6,3.77,4.933,-0.26000000000000023,-4.587155963302756,-0.7350000000000003,-12.967537050105863,2243.0,171.36363636363635,13.089124668435014,51.59
56,7125:100:10:LMW,Evans 12mm,2025-07-01,PVA,100:10,<90,930,6,3.76,4.967,-0.2999999999999998,-5.2640814177925925,-0.7320000000000002,-12.844358659413938,2065.0,170.9090909090909,12.082446808510639,51.1
57,7125:100:10:HMW,Evans 12mm,2025-07-01,PVA,100:10,<90,930,6,3.81,4.932,-0.22999999999999998,-4.062886415827592,-0.7289999999999992,-12.877583465818745,1820.0,173.1818181818182,10.509186351706036,52.16
58,7125:100:10:HMW,Evans 12mm,2025-07-01,PVA,100:10,<90,930,6,3.78,4.939,-0.2900000000000005,-5.109231853417908,-0.7370000000000001,-12.984496124031008,1849.0,171.8181818181818,10.761375661375661,51.63
59,7125:100:10:HMW,Evans 12mm,2025-07-01,PVA,100:10,<90,930,6,3.77,4.94,-0.30000000000000027,-5.29661016949153,-0.7239999999999993,-12.782485875706204,1986.0,171.36363636363635,11.589389920424404,51.43
60,7125:100:20:HMW,Evans 12mm,2025-07-01,PVA,100:20,<90,930,6,3.78,4.961,-0.27,-4.447372755723935,-1.1099999999999994,-18.283643551309495,2671.0,171.8181818181818,15.545502645502646,51.35
61,7125:100:20:HMW,Evans 12mm,2025-07-01,PVA,100:20,<90,930,6,3.82,4.909,-0.17000000000000037,-2.8380634390651145,-1.0810000000000004,-18.04674457429049,2526.0,173.63636363636363,14.547643979057593,52.43
62,7125:100:20:HMW,Evans 12mm,2025-07-01,PVA,100:20,<90,930,6,3.73,4.458,-0.27,-4.951402897487622,-0.9950000000000001,-18.246836603704384,900.0,169.54545454545456,5.308310991957104,55.73
63,62425:100:20:HMW,Evans 12mm,2025-06-24,PVA,100:20,<90,930,6,3.66,4.701,-0.5999999999999996,-14.084507042253513,-1.2850000000000001,-21.46675576344805,2136.0,166.36363636363637,12.83934426229508,52.48
64,62425:100:20:HMW,Evans 12mm,2025-06-24,PVA,100:20,<90,930,6,3.52,4.657,-0.6599999999999997,-15.78947368421052,-1.2409999999999997,-21.041030857917935,2026.0,160.0,12.6625,51.05
65,62425:100:20:HMW,Evans 12mm,2025-06-24,PVA,100:20,<90,930,6,3.47,4.627,-0.6999999999999997,-16.786570743405267,-1.2599999999999998,-21.40309155766944,1883.0,157.72727272727275,11.938328530259364,50.62
66,62425:100:20:HMW,Evans 12mm,2025-06-24,PVA,100:20,<90,930,6,3.54,4.577,-0.6699999999999999,-15.914489311163893,-1.3120000000000003,-22.278824927831554,1966.0,160.9090909090909,12.218079096045198,52.13
67,62425:100:20:HMW,Evans 12mm,2025-06-24,PVA,100:20,<90,930,6,3.52,4.611,-0.7200000000000002,-16.981132075471702,-1.237,-21.152530779753764,1912.0,160.0,11.95,51.47
68,62425:100:20:HMW,Evans 12mm,2025-06-24,PVA,100:20,<90,930,6,3.49,4.688,-0.7299999999999995,-17.298578199052123,-1.2780000000000005,-21.42138786456588,2089.0,158.63636363636365,13.168481375358164,50.27
69,62425:100:30:HMW,Evans 12mm,2025-06-24,PVA,100:30,<90,930,6,3.5,4.192,-0.6200000000000001,-10.528103243335032,-1.697,-28.816437425708948,2172.0,159.0909090909091,13.652571428571429,55.68
70,62425:100:30:HMW,Evans 12mm,2025-06-24,PVA,100:30,<90,930,6,3.45,4.22,-0.6600000000000001,-11.148648648648651,-1.7000000000000002,-28.716216216216218,2085.0,156.81818181818184,13.29565217391304,54.7
71,62425:100:30:HMW,Evans 12mm,2025-06-24,PVA,100:30,<90,930,6,3.47,4.199,-0.69,-11.69095221958658,-1.7030000000000003,-28.854625550660796,2074.0,157.72727272727275,13.149279538904898,55.12
72,62425:100:40:HMW,Evans 12mm,2025-06-24,PVA,100:40,<90,930,6,3.5,3.806,-0.5599999999999996,-9.58575830195138,-2.0359999999999996,-34.85107839780896,1833.0,159.0909090909091,11.521714285714285,59.76
73,62425:100:40:HMW,Evans 12mm,2025-06-24,PVA,100:40,<90,930,6,3.55,3.865,-0.5200000000000005,-8.837525492862005,-2.019,-34.313392250169954,1925.0,161.36363636363635,11.929577464788734,59.67
74,62425:100:40:HMW,Evans 12mm,2025-06-24,PVA,100:40,<90,930,6,3.47,3.879,-0.5899999999999994,-9.951087873165784,-2.0500000000000003,-34.57581379659302,1849.0,157.72727272727275,11.722766570605186,58.58
75,62425:100:20:LMW,Evans 12mm,2025-06-24,PVA,100:20,<90,930,6,3.63,4.6,-0.6200000000000001,-10.465901417960838,-1.3240000000000007,-22.3497636731938,5057.0,165.0,30.64848484848485,53.13
76,62425:100:20:LMW,Evans 12mm,2025-06-24,PVA,100:20,<90,930,6,3.5,4.59,-0.6200000000000001,-10.444743935309974,-1.346,-22.675202156334233,7090.0,159.0909090909091,44.565714285714286,51.44
77,62425:100:20:LMW,Evans 12mm,2025-06-24,PVA,100:20,<90,930,6,3.48,4.579,-0.6300000000000003,-10.609632873021226,-1.359,-22.886493768945773,7012.0,158.1818181818182,44.32873563218391,51.27
78,62425:100:20:LMW,Evans 12mm,2025-06-24,PVA,100:20,<90,930,6,3.49,4.598,-0.5899999999999999,-9.87778335844634,-1.375,-23.02025782688766,7121.0,158.63636363636365,44.88882521489971,51.21
79,62425:100:20:LMW,Evans 12mm,2025-06-24,PVA,100:20,<90,930,6,3.54,4.572,-0.5499999999999998,-9.229736532975329,-1.3869999999999996,-23.275717402248695,7002.0,160.9090909090909,43.51525423728813,52.22
80,62425:100:20:LMW,Evans 12mm,2025-06-24,PVA,100:20,<90,930,6,3.52,4.612,-0.5799999999999996,-9.74789915966386,-1.338,-22.487394957983195,7416.0,160.0,46.35,51.5
81,62425:100:30:LMW,Evans 12mm,2025-06-24,PVA,100:30,<90,930,6,3.5,4.308,-0.5700000000000003,-9.534961525593848,-1.67,-27.93576446972231,7522.0,159.0909090909091,47.281142857142854,54.42
82,62425:100:30:LMW,Evans 12mm,2025-06-24,PVA,100:30,<90,930,6,3.58,4.323,-0.47999999999999954,-8.053691275167777,-1.6369999999999996,-27.466442953020128,7300.0,162.72727272727272,44.86033519553073,55.25
83,62425:100:30:LMW,Evans 12mm,2025-06-24,PVA,100:30,<90,930,6,3.58,4.278,-0.46999999999999975,-7.841174507841171,-1.7160000000000002,-28.628628628628633,7945.0,162.72727272727272,48.824022346368714,55.74
84,62425:100:30:LMW,Evans 12mm,2025-06-24,PVA,100:30,<90,930,6,3.54,4.315,-0.54,-9.02557245528999,-1.6679999999999993,-27.878990473006844,7558.0,160.9090909090909,46.97062146892655,54.88
85,62425:100:30:LMW,Evans 12mm,2025-06-24,PVA,100:30,<90,930,6,3.45,3.702,-0.6399999999999997,-10.698762955533262,-2.2800000000000002,-38.114343029087266,7383.0,156.81818181818184,47.07999999999999,60.31
86,62425:100:30:LMW,Evans 12mm,2025-06-24,PVA,100:30,<90,930,6,3.47,4.226,-0.6000000000000001,-10.058675607711653,-1.7389999999999999,-29.1533948030176,7193.0,157.72727272727275,45.604034582132556,54.94
87,62425:100:40:LMW,Evans 12mm,2025-06-24,PVA,100:40,<90,930,6,3.52,4.239,-0.52,-8.688387635756056,-1.7460000000000004,-29.172932330827074,8320.0,160.0,52.0,55.39
88,62425:100:40:LMW,Evans 12mm,2025-06-24,PVA,100:40,<90,930,6,3.5,3.848,-0.54,-9.027081243731194,-2.1340000000000003,-35.67368772985624,8986.0,159.0909090909091,56.48342857142857,59.28
89,62425:100:40:LMW,Evans 12mm,2025-06-24,PVA,100:40,<90,930,6,3.48,3.803,-0.5799999999999996,-9.660226515656225,-2.2009999999999996,-36.65889407061959,8697.0,158.1818181818182,54.981034482758616,59.47
90,62425:100:40:LMW,Evans 12mm,2025-06-24,PVA,100:40,<90,930,6,3.52,3.083,-0.5500000000000003,-9.148369926813045,-2.9289999999999994,-48.71922821024617,9096.0,160.0,56.85,59.99
91,62425:100:40:LMW,Evans 12mm,2025-06-24,PVA,100:40,<90,930,6,3.46,3.8,-0.6200000000000001,-10.413167618407796,-2.154,-36.17735975814578,8522.0,157.27272727272725,54.18612716763006,59.34
92,62425:100:40:LMW,Evans 12mm,2025-06-24,PVA,100:40,<90,930,6,3.52,3.769,-0.5500000000000003,-9.160559626915395,-2.2349999999999994,-37.22518321119253,8354.0,160.0,52.2125,60.34
